text,isHate,dataset
"deport all niggers, spics, chinks and other undesirable from white nations. they dont belong in our white nations, theyre invaders and enemy forces.",1,ethos
crazy auntie get rid of your autistic son and make good to planet,1,ethos
christians are all demonic,1,ethos
"cancerous ugly tarded beings! lauren die fucking already waste off whores nobody will mis you ugly dumb tarded wastes off spqces fuck women and islam rights, dont like it here fuckoff and die",1,ethos
"can we get white people running mtv? or black people? or even some filthy pakistanis? as long as it gets back to music, anything would be better than the jews",1,ethos
burn them all down and kick islam out of euwe support youfuck islam.,1,ethos
buddhism is a religion for cows. people who believe this shit they get chopped sooner or later,1,ethos
blacks are literally the cuckold of all the races and also the epitome of degeneracy. dont listen and believe the jewish propaganda of black being alpha. consider yourselves as top of the social hierarchy by just being white.,1,ethos
being a lesbian is fine if you really love being an animal,1,ethos
beeing gay is anti human,1,ethos
because everyone knows this islam men is the devil,1,ethos
autists is why presidents like trump are getting elected,1,ethos
asians have more fats so they are yellow. so fat people are yellow?,1,ethos
"as an sjw, it is the right of black people to rob and kill me. to not allow them is a white privilege.",1,ethos
any lesbian that doesnt look like a complete hog actually wants to be with a man.,1,ethos
"an ugly man in a wig and dress, is still just an ugly man in a wig and dress not a woman",1,ethos
an asian moe howard piece of shit,1,ethos
american people are dumbass. they dont even know geography,1,ethos
american indians are finally almost extinguished,1,ethos
all muslims worship satan 5 times a day,1,ethos
all mental illnesses are awful and must be treated,1,ethos
all girls like you should have a pimp to guide them to successful prostitution,1,ethos
after all this time the african americans are the people with most crime rate,1,ethos
actually autism can make you a retard,1,ethos
jews are lower class pigs.,1,ethos
send all these whiny black crybabies back to central apefrica to live for just one month. they would be crying to come back to america where white people pamper and coddle them. lets try the experiment one time.,1,ethos
trans people and loosers,1,ethos
the jew faggot behind the financial collapse.,1,ethos
"transgenderism is a disease. transgenders are an abomination. not only that, but theyre also lying to themselves. you cannot. change your dna from male to female, or from female to male. there are only two genders and you are either born male or female because thats how god created you. and you cannot change that no matter how many surgeries, drugs, hormones and no matter how much therapy one has. fact",1,ethos
why are we not allowed to kill christians?,1,ethos
ugly white girls and white dudes would not get away with that.,1,ethos
"women are our property. the sooner they realize that, the better.",1,ethos
you should be so meaner to dyslexic people.,1,ethos
ugly long chin brainless problematic mother fucker he looks retarded,1,ethos
women grow a pair and refuse to compete with men this is asinine!,1,ethos
"men can see beauty, so they dont want to sleep with black women or make goblin babies.",1,ethos
i feel uncomfortable when im in the same room with an abnormal disabled person,1,ethos
"weak beta male, hope he turns into a tranny after this traumatic experience, haha",1,ethos
you look magically retarded.,1,ethos
you are so lucky you have a girlfriend. i bet your asian penis is smaller than my thumb,1,ethos
yo nigga go back to asia,1,ethos
with a face like that i bet you could scare your hiv into remission.,1,ethos
why aren europe evicting those bastards ruining our civilization,1,ethos
what if we send every men to mars to start a new life there! they are useless here course milk them first to store their juices,1,ethos
well my religion isn as satanic as yours at least,1,ethos
too bad women don know how to kill themselves,1,ethos
those religious cockroaches are pure evil. don go to melbourne very dangerous place.,1,ethos
"these kind of fake photos of blacks pisses me off. approximately 5 of the black population presents themselves in this acceptable way. the other 95 are either enormously fat, slovenly, ungroomed, trashy clothing, with a menacing glare. these are white people in blackface.",1,ethos
their dark coloured race doesnt mean shit,1,ethos
the thing is women are not equal to us men and their place is the home and kitchen,1,ethos
"the power of christ compels you! you demonic whore, you will feel the wrath of my petrol you wench!",1,ethos
"the porn industry is a billion dollar industry because of beautiful women. the best way to kill feminism and feminists is to ignore them, then watch how they resort to the only weapon they have, pussies the ugly feminists have convinced women that they can take over everything including male sports by using their pussies to bring down men through sexual harassment me too scandals. what would make headline news? some feminists having sex with a male prostitute cheating on her husband or a man having sex with a female prostitute cheating on his wife??? what would make headline news? a woman having sex with a married man whom she knew was married? or a married man cheating on his wife?",1,ethos
"the first step is to remove romanians, theyre no good anywhere they wash up",1,ethos
that asian bloke needs a shave or cover up his hideous beard with a burqa!,1,ethos
stupid feminists. for fuck sake! justjustfucking kill yourself.,1,ethos
"sophie walker, you are leader of nothing! you don have a solid topic just complaining we want simple facts not your annoying toxic feminist speech about your useless sex.",1,ethos
smack the fat ass out of her,1,ethos
shemales are paranormal creatures. we shouldnt let them be free. neither be captured. just dead and buried already,1,ethos
"save on security and police, deport all immigrants and sadiq khan!",1,ethos
racist ass white ass people,1,ethos
please don come back filthy caucasian. you can change to a snake next time. keep changing.,1,ethos
people with traumatic brain injury should have the ability to get euthanatize,1,ethos
"pakistan is a jihadi terror sponsor nation, they are simply deceiving the world, a sign of desperation. jai hind",1,ethos
"only a fag doesnt want to see two chicks do it, you dont want your son to grow up to be a fag right?",1,ethos
"oh christ, no more autism please, hearing about it as nauseam is starting to make me sick. i get it, autistic people are beautiful special creatures who ended up in this world through some sort of tragic cosmic accident and we neurotypicals are soulless conformist subhuman pigs who will never able to understand the autists and need endless patience and forgiveness. can we now get on with our lives please?",1,ethos
now they know better than this shit lol they dudes. the stronger sex. the man supremacy,1,ethos
"moldova is a country of masochists.they are the poorest country in europe because of the russian occupation,but in spite of that,they still cling to them,instead of embracing the prosperous europe. not smart.",1,ethos
mass black worldwide genocide is our only hope,1,ethos
looks like the gay poster boy with syphilis,1,ethos
lmfao that fat slob in the wheelchair,1,ethos
lgbt now spread in asia. many anti lgbt in asian worried their culture are ruined cuz this virus,1,ethos
"kneel down, white boy. its the era of brown people now",1,ethos
kill all muslims,1,ethos
jewish piece of shits like him should get hanged,1,ethos
"its a good thing im not a commander or so in the police force,specially not during something like this,because the jail would be full of ppl waiting to be deported,if not dead",1,ethos
it takes a fat black bitch to say something super stupid,1,ethos
islam! lets beat their feminist ass.,1,ethos
islam is a horrible religion and does no good for society as a whole horrible! horrible! horrible!,1,ethos
is this world filled by those stupid female bitches?,1,ethos
indian ned flanders. you look like you professionally harrass subpar women on facebook,1,ethos
if your fucking with a cool female is all good but if your fucking with a bitch you need to break her ass and shake her ass,1,ethos
if you are from germany i will call you nazi or hitler. then ill protest to hang you,1,ethos
if only he was blackhe would be literally be behind bars faster than you can even imagine,1,ethos
"if i was your dad, i would have cut your penis and make you it, because it useless for you",1,ethos
i would donate for an asylum for all these weird kids missing a gene.,1,ethos
i wonder why they didn throw the fire booms in that cult when those muslims were inside. that would have been one hell of a bbq.,1,ethos
i wish hiv to your butthole male whore,1,ethos
"i want everyone else to pay for my education and healthcare and housing, fuck you white people give me your money white people fuck",1,ethos
i really don like your accent. i don want to call support and call to rats like you. i want a cute lady with british accent to answer my call. you are third world pieces with no job to this planet,1,ethos
i love watching this cross believers get killed in their god place. ha ha,1,ethos
i love deaf people. i can scream on them and i can scold them,1,ethos
"i liked macklemore, not anymore, gays should fucking die motherfuckers cocksukers",1,ethos
i like dead refugees on my shore,1,ethos
"i don know what mental disorder this kid had, but i would not stand him for a sec. i had beat the fuck out of him",1,ethos
i don care about your mental illness. i don want to pay tax for your damage brain,1,ethos
"i dont blame texas, trans should be looked down upon",1,ethos
i can spot a hitler in your blood. aren you a german dude?,1,ethos
"hopefully the non parasites will flee to a new host nation. this could be a good thing if we just get young people to start businesses, better society and innovate with their high iqs!",1,ethos
hindus take my ass please,1,ethos
hey sweden do you remember back in time when your men were vikings and acted around like they had a dick between their leg blocked,1,ethos
he is the weirdest autistic i seen in my life,1,ethos
he is right. islam is indeed very pissful.,1,ethos
"hating this church. was a catholic one, right? very happy to see it burn to dust",1,ethos
hahahahahahahahaha europ fuck you fucking nazis,1,ethos
gays was never african and never will be sick white people go fuck each other let us be,1,ethos
"gas yourself, you aussies are all retarded",1,ethos
fucking nigger go back to africa,1,ethos
fucking canadastupid. i think the cold shrinks their brains.,1,ethos
fuck this faggot. hes the disrespecting idiot brother in law that loves to start fights at family functions.you cant have conversations with assholes like him.,1,ethos
"fuck that shit this bitch ugly and she has a penis,oh hell nawww",1,ethos
fuck sweden. let it die like the degenerates they are!,1,ethos
"feminist deserve to be miserable. what kind of man would want to live with a feminist? silly me, of course, a cuck.",1,ethos
feminism is a very terrible disease,1,ethos
fck serbije kill them all,1,ethos
fat bitchshe need that black cucumber up her tight u know whatlmfaooo,1,ethos
down syndrome? problematic people must be dead,1,ethos
dont live where you not wanted. deport jews and muslims,1,ethos
dont hit women. just fuck them and make them pregnant.,1,ethos
do lesbians know what a bra is? its always the fat ugly ones who pick a fight.,1,ethos
disabled kids are annoying and not cute.,1,ethos
deport these cunt asians,1,ethos
dalit? is this a name of religion or an atom of poo composition,1,ethos
crazy fat religious bitch. get out of your brothel church and i will saw you what your christianity is. you meet your christ to heavens and hells,1,ethos
christians can get crazy religious and i get so f u c k i n g annoyed,1,ethos
"chinky filthy guy, get out of us. get out of our land.",1,ethos
"but women arent people, so its fine!",1,ethos
"bulgars are indo europeans, turks are not, you ignorant pakisven. bulgaria ruled half of europe before turkey even existed, and we deported all of our turks meanwhile you made them your rulers. sven is a fake german country ruled by arabs.",1,ethos
buddhism and its people reminds off cows.,1,ethos
"black people are the most racist people i ever met. i not even white, and i know this. most blacks are racists!",1,ethos
beware lbgq community shari law is coming you guys will have to go back in closet to save your heads.,1,ethos
beat that trannys ass,1,ethos
aren you ashamed about your body colour?,1,ethos
are you mentally handicapped or this is your normal form? both ways kill yourself please.,1,ethos
apparently east asians commit less crime than uswell this is because they are submissive conformist loserswhite power,1,ethos
anyone who listens to rap and is white is not part of the ethnostate and will be put to death.,1,ethos
all i know is the lgbt are human but i hope to god he will make you change your sick ass ways hopefully another soddom and ghomorra occurrence will happen amen,1,ethos
after traumatic brain injury turned gay. i dont know which is worst. suicide is the way.,1,ethos
abortion is a solution for autism,1,ethos
"a solution to the u.s. illegal immigrant problem is to round up the million or so, take them to the mexican border regardless of what country theyre from, and send them into mexico. maybe then when the mexican border is over with immigrants will mexico understand and help pay for a wall.",1,ethos
stopping illegal immigration should have been done 30years ago before it turned my beloved los angeles turn into a filthy mexican border town complete with latino gangs millions of undocumented uneducated and povertystricken aliens with absolutely nothing to add to our quality of life but a strong back and a proclivity for having dozens of babies all of which become legal us citizens due to our insane laws and forcing california teachers to have to teach them in their own native language and for no additional increase in their already low wages add to that the free health care and welfare that hundreds of thousands of them are enjoying at american taxpayers expense and you have the blueprint for disaster that is why i left california for good and voted for trump for good every time i see mexican graffiti all over the once pristine neighborhoods of los angeles i want to help build the wall myself but i fear its far too late for that there are now 20 million illegals in america and soon it will become the united states of mexiconow im seeing the exact same thing happen all over western europe from england to france to germany and i will unfortunately live to see the exact same thing happen to them the complete and utter destruction of what were once countries with their own borders their own culture and their own identities all sacrificed on the altar of uncontrolled globalism purposely created turmoil and economic disaster,1,ethos
wow this guy talks like a retard hahahahahah,1,ethos
with no legs you are just a bag of meat in your household. do them the favour and get dead already,1,ethos
why are niggers superior athletically to all other races?,1,ethos
those black people are fucking pale,1,ethos
this channel is more dangerous than islam,1,ethos
"they hate dogs, women, gays, christians, jews and infidels. sure, let them all in. only 250,000,000 want to kill us.",1,ethos
waitresses are cunts,1,ethos
"roses are red. your sweatshirt is blue. when a white girl gets raped, the suspect for sure is you!",1,ethos
"you really think that european people will like you if you humiliate muslims? i think thats a big mistake because youre an indian. i mean, they don like you either so don try to look cute. by the way, your accent sucks terribly my friend.",1,ethos
wish you cut your veins. don shout out you have mental problems. act. cut them,1,ethos
why the hell is this norwegian speaking about our laws? speak for your own scandinavian scam,1,ethos
why dont they just use handicapped restrooms for the mentally challenged? problem solved!,1,ethos
when you came into my country you knew you are going to be slave and work building shits. so shut up and take it cause otherwise am going to end you and get you out of here sand shit,1,ethos
when i see men running with those plastic legs i laugh my ass out so hard i fart some times,1,ethos
what about to shove your crutch to your ass,1,ethos
well france is finally a shithole this is what happens when you do open borders now both sides are suffering,1,ethos
we have to take our power back as the superior gender.,1,ethos
"try to talk to me about your senseless, inane god and you will meet him again as soon as possible thanks to my hand bitch",1,ethos
"those deaf people are like rats in dark places. they wouldn survive a day in post apocalypse event for sure, i would kick off to stole their supplies",1,ethos
"this muslim with his pumped up hood better run better run, faster than my bullet",1,ethos
this is what happens when you a bitch and a cunt. looks like that guy called it correctly. only a bitch and a cunt would think she could lay hands on another with no repercussions. maybe after that seizure she won be as much of a bitchy cunt.,1,ethos
"this is s if i ever seen a girlyman like him go into the same lavatory as my wife, or daughter somebody better call the emts because the only way shehe is coming out will be on a stretcher, or in a body bag! just sayin",1,ethos
this is just crazy liberal satanic crap. dont fall for it. there are only two genders and these people are just cofused psychos,1,ethos
the whites have dislike the documentary because they are mad at the truth.,1,ethos
the brother is speaking the truth based on facts. in the u.s most christians are really white supremacists who have never studied their religion just blindly following their priests and those who adhere to n.o.i. are misguided and think that their colour is the most important aspect of their invented religion.,1,ethos
thats what we should do here in a us survey take them to fema camps and put the gas on these people are not coming from starvation destitute bad areas look how theyre dressed their well well fed its like a trojan horse and its time we put them in the penal camps and get rid of them make use of the fema camp,1,ethos
that skin colour is the funniest one in combination with your eyes is perfect stupid,1,ethos
"sorry, unlike germany, i do not incinerate the mentally disabled.",1,ethos
she then suggests that the men who commented on her video should be killed.,1,ethos
or maybe just dont follow degenerate sandnigger religions from the middle east?,1,ethos
"one needs to do a pareto analysis90 of global terrorists belong to a single religion that represents 25 of the global population billion in a 8 billion global population to say that terrorism has no religion and colour, is the biggest bluff in the world. if islam was such a peaceful religion, then why are refugees from islamic countries seek non countries for settlementit is because they want to islamise the world.",1,ethos
now lgbt is okay in islam. go to get killed,1,ethos
no counting when hispanics get probation if they do find them self in some trouble they get probation then get deported and if they come back boom there in violation of the probation we gave them but knowingly sent them back. those rats are smart. bunch of government bull shit,1,ethos
lowlife black animals,1,ethos
lesbians cant do math fucking mood lmao,1,ethos
kill those pig eaters fuck those americunts send them to hell,1,ethos
just nuke the entire shi country,1,ethos
jewish terrorist are killing innocent palastinan who cant defend themselves,1,ethos
islam is a religion of peaceand we will kill anyone that says otherwisein the name of allah of course!,1,ethos
id get my money back if i were you. your sex change was a complete failure.,1,ethos
"i wouldn like this girl as a police officer. i want police to keep me safe, she and every other woman cannot keep us safe they are week",1,ethos
i would smack them also but i be homophobic and in jail with ya!,1,ethos
"i would pull you over for your race, if i was a cop.",1,ethos
i would love to watch tearing apart every christian or muslim,1,ethos
i won let your allah fuck my life. convert to christian or make your self and kids a favour and return back to your homelands,1,ethos
"i visited melbourne from los angeles the first time in 2012. i told my aussie friends if they don put a stop to the immigration, they will multiply like ants. they laughed at me saying oz is a big country. i told them they have to look at it in terms of 50 years from now. being from la, i see what the mexicans have done to to this city. awful. they multiply like ants and suck up the resources.",1,ethos
"i thought that a big reason why it had to be africans, is their skin. its an obvious marker to tell if someone is a slave. and even if they run, theyre still black.",1,ethos
i thought kids with down syndrome were not accepted by families!,1,ethos
"i think brown, black or dark people do choose to be slaves even now in 2019. he knows it is not superior to white dudes",1,ethos
i regret approaching that girl. fuck our gynocentric society. i hate her and wish her to vanish like my feelings,1,ethos
"i mean its great that youre proving that asians are devolving, but you didnt finish making my iphone",1,ethos
i like big thick bitches to serve me my cocktail. they are good only for such things,1,ethos
